datetime,seat,variable,value
2022-01-27 15:46:29.482288,Lyne (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Macarthur (NSW),Labor,1.02
2022-01-27 15:46:29.482288,Mackellar (NSW),Labor,21.00
2022-01-27 15:46:29.482288,Macquarie (NSW),Labor,1.45
2022-01-27 15:46:29.482288,McMahon (NSW),Labor,1.03
2022-01-27 15:46:29.482288,Mitchell (NSW),Labor,14.00
2022-01-27 15:46:29.482288,New England (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Newcastle (NSW),Labor,1.01
2022-01-27 15:46:29.482288,North Sydney (NSW),Labor,21.00
2022-01-27 15:46:29.482288,Page (NSW),Labor,10.00
2022-01-27 15:46:29.482288,Parkes (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Parramatta (NSW),Labor,1.35
2022-01-27 15:46:29.482288,Paterson (NSW),Labor,1.12
2022-01-27 15:46:29.482288,Reid (NSW),Labor,1.80
2022-01-27 15:46:29.482288,Richmond (NSW),Labor,1.07
2022-01-27 15:46:29.482288,Riverina (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Robertson (NSW),Labor,1.95
2022-01-27 15:46:29.482288,Shortland (NSW),Labor,1.15
2022-01-27 15:46:29.482288,Sydney (NSW),Labor,1.01
2022-01-27 15:46:29.482288,Warringah (NSW),Labor,21.00
2022-01-27 15:46:29.482288,Watson (NSW),Labor,1.01
2022-01-27 15:46:29.482288,Wentworth (NSW),Labor,15.00
2022-01-27 15:46:29.482288,Werriwa (NSW),Labor,1.05
2022-01-27 15:46:29.482288,Whitlam (NSW),Labor,1.01
2022-01-27 15:46:29.482288,Calare (NSW),Labor,14.00
2022-01-27 15:46:29.482288,Aston (VIC),Labor,7.00
2022-01-27 15:46:29.482288,Ballarat (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Bendigo (VIC),Labor,1.02
2022-01-27 15:46:29.482288,Bruce (VIC),Labor,1.03
2022-01-27 15:46:29.482288,Calwell (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Casey (VIC),Labor,1.85
2022-01-27 15:46:29.482288,Chisholm (VIC),Labor,1.30
2022-01-27 15:46:29.482288,Cooper (VIC),Labor,1.10
2022-01-27 15:46:29.482288,Corangamite (VIC),Labor,1.20
2022-01-27 15:46:29.482288,Corio (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Deakin (VIC),Labor,1.87
2022-01-27 15:46:29.482288,Dunkley (VIC),Labor,1.07
2022-01-27 15:46:29.482288,Flinders (VIC),Labor,12.00
2022-01-27 15:46:29.482288,Fraser (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Gellibrand (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Gippsland (VIC),Labor,14.00
2022-01-27 15:46:29.482288,Goldstein (VIC),Labor,21.00
2022-01-27 15:46:29.482288,Gorton (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Hawke (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Higgins (VIC),Labor,7.50
2022-01-27 15:46:29.482288,Holt (VIC),Labor,1.02
2022-01-27 15:46:29.482288,Hotham (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Indi (VIC),Labor,12.00
2022-01-27 15:46:29.482288,Isaacs (VIC),Labor,1.02
2022-01-27 15:46:29.482288,Jagajaga (VIC),Labor,1.02
2022-01-27 15:46:29.482288,Kooyong (VIC),Labor,12.00
2022-01-27 15:46:29.482288,La Trobe (VIC),Labor,1.95
2022-01-27 15:46:29.482288,Lalor (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Macnamara (VIC),Labor,1.30
2022-01-27 15:46:29.482288,Mallee (VIC),Labor,15.00
2022-01-27 15:46:29.482288,Maribyrnong (VIC),Labor,1.01
2022-01-27 15:46:29.482288,McEwen (VIC),Labor,1.02
2022-01-27 15:46:29.482288,Melbourne (VIC),Labor,14.00
2022-01-27 15:46:29.482288,Menzies (VIC),Labor,2.70
2022-01-27 15:46:29.482288,Monash (VIC),Labor,6.00
2022-01-27 15:46:29.482288,Nicholls (VIC),Labor,34.00
2022-01-27 15:46:29.482288,Scullin (VIC),Labor,1.01
2022-01-27 15:46:29.482288,Wannon (VIC),Labor,12.00
2022-01-27 15:46:29.482288,Wills (VIC),Labor,1.05
2022-01-27 15:46:29.482288,Blair (QLD),Labor,1.03
2022-01-27 15:46:29.482288,Bowman (QLD),Labor,6.00
2022-01-27 15:46:29.482288,Bonner (QLD),Labor,3.70
2022-01-27 15:46:29.482288,Brisbane (QLD),Labor,4.50
2022-01-27 15:46:29.482288,Capriconia (QLD),Labor,8.00
2022-01-27 15:46:29.482288,Dawson (QLD),Labor,6.50
2022-01-27 15:46:29.482288,Dickson (QLD),Labor,2.95
2022-01-27 15:46:29.482288,Fadden (QLD),Labor,14.00
2022-01-27 15:46:29.482288,Fairfax (QLD),Labor,14.00
